#header_line ,1: ,"mpirun -np 2 --mca pml ob1 --report-bindings --map-by socket --mca btl tcp,self ./IMB-MPI1 PingPong -msglog 28 ",,,,,,
#header_line ,2: ,tnode007,tnode007,,,,,
#header_line ,3: ,15.3,3442.65,,,,,
#header:,#bytes,#repetitions,t[usec],Mbytes/sec,t (computed),Mbytes/sec (computed ),t (estimated),Mbytes/sec (estimated )
,0,1000,7.9,0,7.942,0,15.30,0.00
,1,1000,7.99,0.13,7.999,0.126,15.30,0.07
,2,1000,7.93,0.25,8.002,0.249,15.30,0.13
,4,1000,7.98,0.5,7.994,0.5,15.30,0.26
,8,1000,7.93,1.01,7.999,1,15.30,0.52
,16,1000,7.96,2.01,8.001,2,15.30,1.05
,32,1000,7.96,4.02,7.993,4.005,15.31,2.09
,64,1000,7.97,8.03,8.018,7.988,15.32,4.18
,128,1000,8.41,15.23,8.399,15.251,15.34,8.35
,256,1000,8.39,30.51,8.423,30.414,15.37,16.65
,512,1000,8.43,60.74,8.483,60.391,15.45,33.14
,1024,1000,9.23,110.91,9.484,108.027,15.60,65.65
,2048,1000,8.98,228,8.99,227.923,15.89,128.85
,4096,1000,10.48,390.8,10.732,381.749,16.49,248.40
,8192,1000,11.46,714.71,11.563,708.698,17.68,463.36
,16384,1000,15.03,1089.96,15.448,1060.971,20.06,816.79
,32768,1000,25.24,1298.01,25.77,1271.949,24.82,1320.32
,65536,640,55.74,1175.81,56.706,1155.869,34.34,1908.64
,131072,320,79.22,1654.45,80.408,1630.384,53.37,2455.77
,262144,160,119.77,2188.69,122.023,2148.447,91.45,2866.65
,524288,80,192.67,2721.21,195.43,2682.864,167.59,3128.36
,1048576,40,324.48,3231.53,326.676,3209.94,319.88,3277.99
,2097152,20,618.04,3393.21,622.637,3368.228,624.47,3358.30
,4194304,10,1233.8,3399.49,1231.414,3406.203,1233.64,3399.95
,8388608,5,2452.75,3420.09,2449.417,3424.765,2451.97,3421.17
,16777216,2,5049.11,3322.81,5046.958,3324.276,4888.64,3431.88
,33554432,1,10265.84,3268.55,10348.359,3243.061,9761.99,3437.25
,67108864,1,20118.17,3335.73,20294.016,3306.942,19508.67,3439.95
,134217728,1,40208.32,3338.06,40531.308,3311.67,39002.05,3441.30
,268435456,1,83935.09,3198.13,81006.053,3314.487,77988.80,3441.97
,0,1000,7.97,0,,,,
,1,1000,8.07,0.12,,,,
,2,1000,8.05,0.25,,,,
,4,1000,8.02,0.5,,,,
,8,1000,8.07,0.99,,,,
,16,1000,8.05,1.99,,,,
,32,1000,8.05,3.97,,,,
,64,1000,8.07,7.94,,,,
,128,1000,8.39,15.25,,,,
,256,1000,8.44,30.35,,,,
,512,1000,8.45,60.56,,,,
,1024,1000,9.49,107.89,,,,
,2048,1000,9.08,225.63,,,,
,4096,1000,10.73,381.58,,,,
,8192,1000,11.62,705.03,,,,
,16384,1000,15.45,1060.29,,,,
,32768,1000,25.84,1268.35,,,,
,65536,640,56.82,1153.34,,,,
,131072,320,80.13,1635.67,,,,
,262144,160,122.25,2144.28,,,,
,524288,80,195.65,2679.79,,,,
,1048576,40,325.5,3221.45,,,,
,2097152,20,620.06,3382.15,,,,
,4194304,10,1223.53,3428.04,,,,
,8388608,5,2442.95,3433.81,,,,
,16777216,2,5032.28,3333.92,,,,
,33554432,1,10760.67,3118.25,,,,
,67108864,1,20167.28,3327.61,,,,
,134217728,1,40680.95,3299.28,,,,
,268435456,1,81323.88,3300.82,,,,
,0,1000,8.07,0,,,,
,1,1000,8.16,0.12,,,,
,2,1000,8.17,0.24,,,,
,4,1000,8.14,0.49,,,,
,8,1000,8.15,0.98,,,,
,16,1000,8.19,1.95,,,,
,32,1000,8.12,3.94,,,,
,64,1000,8.19,7.82,,,,
,128,1000,8.62,14.85,,,,
,256,1000,8.63,29.66,,,,
,512,1000,8.71,58.76,,,,
,1024,1000,9.65,106.14,,,,
,2048,1000,9.18,223.16,,,,
,4096,1000,10.9,375.86,,,,
,8192,1000,11.78,695.56,,,,
,16384,1000,15.69,1044.31,,,,
,32768,1000,26.05,1257.68,,,,
,65536,640,57.01,1149.59,,,,
,131072,320,80.17,1634.83,,,,
,262144,160,121.61,2155.59,,,,
,524288,80,195.52,2681.52,,,,
,1048576,40,325.95,3216.94,,,,
,2097152,20,618.92,3388.38,,,,
,4194304,10,1214.77,3452.75,,,,
,8388608,5,2435.12,3444.84,,,,
,16777216,2,4999.72,3355.63,,,,
,33554432,1,10258.79,3270.8,,,,
,67108864,1,20202.95,3321.74,,,,
,134217728,1,40054.71,3350.86,,,,
,268435456,1,79821.06,3362.97,,,,
,0,1000,7.9,0,,,,
,1,1000,7.98,0.13,,,,
,2,1000,7.95,0.25,,,,
,4,1000,7.93,0.5,,,,
,8,1000,7.95,1.01,,,,
,16,1000,7.96,2.01,,,,
,32,1000,7.91,4.05,,,,
,64,1000,7.93,8.07,,,,
,128,1000,8.31,15.41,,,,
,256,1000,8.37,30.59,,,,
,512,1000,8.51,60.19,,,,
,1024,1000,9.7,105.58,,,,
,2048,1000,8.98,227.98,,,,
,4096,1000,10.91,375.58,,,,
,8192,1000,11.55,709,,,,
,16384,1000,15.61,1049.89,,,,
,32768,1000,26.11,1254.84,,,,
,65536,640,56.97,1150.42,,,,
,131072,320,80.91,1619.96,,,,
,262144,160,123.06,2130.25,,,,
,524288,80,196.25,2671.57,,,,
,1048576,40,327.15,3205.21,,,,
,2097152,20,623.41,3364.01,,,,
,4194304,10,1232.9,3401.97,,,,
,8388608,5,2443.64,3432.84,,,,
,16777216,2,5041.54,3327.79,,,,
,33554432,1,10328.8,3248.63,,,,
,67108864,1,20308.84,3304.42,,,,
,134217728,1,40377.24,3324.09,,,,
,268435456,1,80230.7,3345.79,,,,
,0,1000,7.92,0,,,,
,1,1000,7.9,0.13,,,,
,2,1000,7.93,0.25,,,,
,4,1000,7.91,0.51,,,,
,8,1000,7.94,1.01,,,,
,16,1000,7.91,2.02,,,,
,32,1000,7.91,4.04,,,,
,64,1000,7.95,8.05,,,,
,128,1000,8.29,15.44,,,,
,256,1000,8.35,30.67,,,,
,512,1000,8.4,60.95,,,,
,1024,1000,9.44,108.52,,,,
,2048,1000,8.9,230.03,,,,
,4096,1000,10.73,381.74,,,,
,8192,1000,11.59,706.63,,,,
,16384,1000,15.68,1044.82,,,,
,32768,1000,26.2,1250.5,,,,
,65536,640,56.98,1150.16,,,,
,131072,320,81.67,1604.99,,,,
,262144,160,121.77,2152.86,,,,
,524288,80,194.36,2697.5,,,,
,1048576,40,328.85,3188.62,,,,
,2097152,20,624.59,3357.64,,,,
,4194304,10,1239.25,3384.56,,,,
,8388608,5,2450.93,3422.62,,,,
,16777216,2,5071.78,3307.95,,,,
,33554432,1,10288.29,3261.42,,,,
,67108864,1,20427.72,3285.19,,,,
,134217728,1,40827.02,3287.47,,,,
,268435456,1,82329.17,3260.51,,,,
,0,1000,7.92,0,,,,
,1,1000,7.95,0.13,,,,
,2,1000,7.98,0.25,,,,
,4,1000,7.99,0.5,,,,
,8,1000,7.97,1,,,,
,16,1000,7.98,2.01,,,,
,32,1000,7.99,4.01,,,,
,64,1000,8.02,7.98,,,,
,128,1000,8.3,15.43,,,,
,256,1000,8.32,30.78,,,,
,512,1000,8.41,60.91,,,,
,1024,1000,9.56,107.1,,,,
,2048,1000,8.93,229.33,,,,
,4096,1000,10.79,379.46,,,,
,8192,1000,11.54,709.87,,,,
,16384,1000,15.49,1057.88,,,,
,32768,1000,25.98,1261.35,,,,
,65536,640,57.38,1142.21,,,,
,131072,320,81.43,1609.55,,,,
,262144,160,122.05,2147.81,,,,
,524288,80,196.17,2672.68,,,,
,1048576,40,327.4,3202.7,,,,
,2097152,20,622.5,3368.92,,,,
,4194304,10,1227.48,3417,,,,
,8388608,5,2448.48,3426.05,,,,
,16777216,2,5057.8,3317.1,,,,
,33554432,1,10314.3,3253.2,,,,
,67108864,1,20244.38,3314.94,,,,
,134217728,1,40911.78,3280.66,,,,
,268435456,1,80620.13,3329.63,,,,
,0,1000,7.55,0,,,,
,1,1000,7.64,0.13,,,,
,2,1000,7.66,0.26,,,,
,4,1000,7.66,0.52,,,,
,8,1000,7.62,1.05,,,,
,16,1000,7.64,2.09,,,,
,32,1000,7.67,4.17,,,,
,64,1000,7.68,8.34,,,,
,128,1000,7.99,16.03,,,,
,256,1000,7.98,32.08,,,,
,512,1000,8.03,63.78,,,,
,1024,1000,9.1,112.57,,,,
,2048,1000,8.56,239.35,,,,
,4096,1000,10.34,396.1,,,,
,8192,1000,11.04,741.96,,,,
,16384,1000,14.87,1101.84,,,,
,32768,1000,24.75,1324.06,,,,
,65536,640,55.28,1185.53,,,,
,131072,320,77.73,1686.2,,,,
,262144,160,121.16,2163.56,,,,
,524288,80,194.51,2695.47,,,,
,1048576,40,322.85,3247.9,,,,
,2097152,20,625.69,3351.75,,,,
,4194304,10,1233.24,3401.03,,,,
,8388608,5,2458.21,3412.48,,,,
,16777216,2,5044.23,3326.02,,,,
,33554432,1,10293.22,3259.86,,,,
,67108864,1,20472.21,3278.05,,,,
,134217728,1,40151.39,3342.79,,,,
,268435456,1,80258.28,3344.65,,,,
,0,1000,8.2,0,,,,
,1,1000,8.23,0.12,,,,
,2,1000,8.24,0.24,,,,
,4,1000,8.22,0.49,,,,
,8,1000,8.23,0.97,,,,
,16,1000,8.23,1.94,,,,
,32,1000,8.19,3.91,,,,
,64,1000,8.24,7.77,,,,
,128,1000,8.63,14.84,,,,
,256,1000,8.67,29.54,,,,
,512,1000,8.72,58.69,,,,
,1024,1000,9.57,107.01,,,,
,2048,1000,9.22,222.24,,,,
,4096,1000,10.92,375.06,,,,
,8192,1000,11.83,692.69,,,,
,16384,1000,15.71,1042.98,,,,
,32768,1000,25.83,1268.66,,,,
,65536,640,57.22,1145.37,,,,
,131072,320,81.6,1606.35,,,,
,262144,160,123.12,2129.19,,,,
,524288,80,196.67,2665.88,,,,
,1048576,40,328.1,3195.91,,,,
,2097152,20,623.54,3363.32,,,,
,4194304,10,1232.74,3402.43,,,,
,8388608,5,2458,3412.77,,,,
,16777216,2,5040.54,3328.46,,,,
,33554432,1,10320.03,3251.39,,,,
,67108864,1,20244.05,3314.99,,,,
,134217728,1,40418.54,3320.7,,,,
,268435456,1,80691.02,3326.71,,,,
,0,1000,7.91,0,,,,
,1,1000,7.92,0.13,,,,
,2,1000,7.97,0.25,,,,
,4,1000,7.96,0.5,,,,
,8,1000,7.98,1,,,,
,16,1000,7.92,2.02,,,,
,32,1000,7.98,4.01,,,,
,64,1000,8,8,,,,
,128,1000,8.4,15.24,,,,
,256,1000,8.39,30.51,,,,
,512,1000,8.43,60.76,,,,
,1024,1000,9.39,109.1,,,,
,2048,1000,8.88,230.57,,,,
,4096,1000,10.58,387.01,,,,
,8192,1000,11.48,713.79,,,,
,16384,1000,15.26,1073.71,,,,
,32768,1000,25.4,1289.91,,,,
,65536,640,56.92,1151.29,,,,
,131072,320,80.7,1624.11,,,,
,262144,160,122.63,2137.7,,,,
,524288,80,196.34,2670.29,,,,
,1048576,40,328.92,3187.92,,,,
,2097152,20,625.67,3351.83,,,,
,4194304,10,1238.18,3387.47,,,,
,8388608,5,2450.8,3422.81,,,,
,16777216,2,5065.8,3311.86,,,,
,33554432,1,10333.93,3247.02,,,,
,67108864,1,20460.35,3279.95,,,,
,134217728,1,40623.07,3303.98,,,,
,268435456,1,80958.58,3315.71,,,,
,0,1000,8.08,0,,,,
,1,1000,8.15,0.12,,,,
,2,1000,8.14,0.25,,,,
,4,1000,8.13,0.49,,,,
,8,1000,8.15,0.98,,,,
,16,1000,8.17,1.96,,,,
,32,1000,8.15,3.93,,,,
,64,1000,8.13,7.88,,,,
,128,1000,8.65,14.79,,,,
,256,1000,8.69,29.45,,,,
,512,1000,8.74,58.57,,,,
,1024,1000,9.71,105.45,,,,
,2048,1000,9.19,222.94,,,,
,4096,1000,10.94,374.3,,,,
,8192,1000,11.74,697.74,,,,
,16384,1000,15.69,1044.03,,,,
,32768,1000,26.3,1246.13,,,,
,65536,640,56.74,1154.97,,,,
,131072,320,80.52,1627.73,,,,
,262144,160,122.81,2134.54,,,,
,524288,80,196.16,2672.73,,,,
,1048576,40,327.56,3201.22,,,,
,2097152,20,623.95,3361.07,,,,
,4194304,10,1238.25,3387.29,,,,
,8388608,5,2453.29,3419.34,,,,
,16777216,2,5066.78,3311.22,,,,
,33554432,1,10319.72,3251.49,,,,
,67108864,1,20294.21,3306.8,,,,
,134217728,1,41060.06,3268.81,,,,
,268435456,1,79892.62,3359.95,,,,